"GeneSymbol","Direction","logFC_SUI","logFC_POP","adj.P.Val","Direcao_POP","Concordante"
"ARHGEF4","down",-1.73492023561817,-0.169485681083333,0.429123844313216,"down",TRUE
"ARHGEF5","up",1.30195321958905,-0.0130949046666658,0.928500195337314,"down",FALSE
"ARHGEF7","up",1.63703968581642,0.0228703433333339,0.847368814402641,"up",TRUE
"ARID1A","up",2.33549100216491,-0.000851240666666733,0.996887909862962,"down",FALSE
"ARID2","down",-1.34031011004142,-0.0866746654166655,0.40458479499788,"down",TRUE
"ARID4B","down",-2.80428880401681,-0.146886957166667,0.174941871462244,"down",TRUE
"ARL13B","down",-2.1988397932788,0.251639989333334,0.113713952098053,"up",FALSE
"ARL2BP","up",1.26595734861639,0.0025877700000027,0.983970915650238,"up",TRUE
"ARL5B","up",1.32921173437087,0.549078764083334,0.0476790161413727,"up",TRUE
"ARL6","up",2.76926145958931,0.067066103916667,0.370581992783398,"up",TRUE
"ARMC1","up",1.2176596758195,0.0764256351666664,0.496108096478907,"up",TRUE
"ARMC5","up",1.85087005625755,0.275248785833335,0.0262199486928607,"up",TRUE
"ARMC7","up",1.09176353131284,-0.2455427695,0.0181759606018022,"down",FALSE
"ARMCX1","up",1.3628265276941,-0.137944544999999,0.151999909948781,"down",FALSE
"ARPC3","up",4.10537029917523,0.0148513291666671,0.891856437236286,"up",TRUE
"ARPC5","up",1.52322118888213,0.236258132500003,0.13706830960434,"up",TRUE
"ARRDC3","down",-2.16375134281323,0.135807698,0.374303952458186,"up",FALSE
"ARSA","up",2.29346863239531,0.110926335272728,0.345759321544257,"up",TRUE
"ARSI","up",1.99903104923637,0.295241761583335,0.217371991933552,"up",TRUE
"ARSJ","up",2.0265996966891,0.0819195683333353,0.685298959742605,"up",TRUE
"ART1","up",1.72161432073402,0.063601002333334,0.520237338627318,"up",TRUE
"ART3","up",1.36558017391833,0.118590885833333,0.695695128805357,"up",TRUE
"ART4","up",2.84431616814708,-0.0682971840833336,0.785906915957664,"down",FALSE
"ART5","up",1.82489511420639,-0.248555276,0.106659629321907,"down",FALSE
"ASAH1","up",1.17091332571873,-0.0928684993333325,0.429071029556384,"down",FALSE
"ASB1","up",1.957835016117,-0.0529370864999984,0.699127644662645,"down",FALSE
"ASB11","down",-3.56656043802218,0.0225795746666671,0.883962251298372,"up",FALSE
"ASB12","down",-5.91678700068078,-0.0365281018333331,0.719465576462174,"down",TRUE
"ASB13","up",1.58399398305675,-0.194120669999999,0.0296424780748885,"down",FALSE
"ASB14","up",1.00709056126182,-0.177900049,0.0227853616182633,"down",FALSE
"ASB2","up",3.05151639881431,-0.207754549166665,0.671923135016704,"down",FALSE
"ASB3","up",1.69419974873025,-0.152229079499999,0.082489426167423,"down",FALSE
"ASB6","up",2.79887474163731,-0.0476666521666653,0.426937808342283,"down",FALSE
"ASB7","down",-1.95185117078235,-0.268065426,0.0180921659798657,"down",TRUE
"ASB8","up",1.38604470782115,-0.0461885150833334,0.554398880447446,"down",FALSE
"ASB9","up",1.23791217457677,0.246283209750001,0.171199247228561,"up",TRUE
"ASCC1","up",2.42038818661256,-0.0313645964166662,0.765890861933064,"down",FALSE
"ASCL2","up",2.89319024213972,-0.189169231916666,0.190297482457236,"down",FALSE
"ASF1A","up",1.49974982749591,-0.0983268333333322,0.363476832477681,"down",FALSE
"ASH1L","down",-2.77407767478795,0.0661657419166675,0.574049433743965,"up",FALSE
"ASMT","up",2.16187007977806,-0.0895864030833335,0.523662486243501,"down",FALSE
"ASMTL","up",1.09881150898978,-0.00613117083333189,0.952189888754105,"down",FALSE
"ASNS","up",3.37386836385775,0.0137325558333346,0.902810947101093,"up",TRUE
"ASNSD1","up",1.56514031508106,-0.0684565149999985,0.448463197719921,"down",FALSE
"ASPH","down",-1.21285928052282,0.169669446166667,0.110960700656399,"up",FALSE
"ASPSCR1","up",1.53993990120746,0.0667061979166673,0.50451911973246,"up",TRUE
"ASXL1","down",-2.25468132162907,0.0303364978333346,0.777935269310937,"up",FALSE
"ASZ1","down",-1.76195322695306,-0.00638716783333298,0.969349764841451,"down",TRUE
"ATAD1","up",2.19747259025926,0.00846791166666626,0.949640785877226,"up",TRUE
"ATAD2","down",-2.54477456394595,0.0553442473333328,0.62400853960018,"up",FALSE
"ATAD3A","down",-2.15838576254737,0.00294592241666811,0.980383610991926,"up",FALSE
"ATF2","up",1.84494968430189,-0.0832703817500004,0.48772690767343,"down",FALSE
"ATF3","up",1.13866855408235,2.33487925458333,0.0207883625301472,"up",TRUE
"ATF4","up",2.85811813418479,0.190613248333336,0.200948602088903,"up",TRUE
"ATF5","up",2.2905804612904,0.246524977250001,0.0909641531123677,"up",TRUE
