"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Ntf3",49.1873516197631,-8.06111301026337,2.17171963299044,-3.71185713284881,0.000205744112917091,0.0180026098802454,"NTF3",4908
"Ralgps1",69.0722602567091,-6.3584345064075,1.71681085898948,-3.70363134244741,0.000212535061185239,0.0182545451324745,"RALGPS1",9649
"Rrp12",263.663851629291,-2.10395225927397,0.56771388794012,-3.70600808605881,0.000210551579585364,0.0182545451324745,"RRP12",23223
"Stfa3",49.0638517418239,9.33100029599738,2.51890723621468,3.70438425117221,0.000211904839680504,0.0182545451324745,NA,NA
"Ifngr2",652.081265199934,-1.70140174690002,0.459850331334376,-3.69990327496983,0.000215681655429653,0.0183002616728191,"IFNGR2",3460
"Tmem106a",49.4756858472594,-6.25615046805567,1.69065734622085,-3.70042485666307,0.000215238809054969,0.0183002616728191,"TMEM106A",113277
"Acot4",23.9357006787723,-7.98737081910957,2.15977132224321,-3.69824839178511,0.000217092395989358,0.0183089972521145,"ACOT4",122970
"RGD1310110",92.7259175114734,-6.78956588030443,1.84278914662843,-3.68439649903876,0.000229245152897542,0.0192181565303329,NA,NA
"Serpinb10",2020.38957528813,3.49054130560227,0.948116623961732,3.68155268812495,0.000231817869168045,0.0193181557640037,"SERPINB10",5273
"Zfp385c",70.489186316012,-8.58046398028032,2.33218697132141,-3.67914926452859,0.000234013280690272,0.0193857155601409,"ZNF385C",201181
"Krtdap-2",490.666337155148,6.9966420486647,1.90329663683726,3.67606494607753,0.000236859246795091,0.0195060556184193,NA,NA
"Armc7",232.143249770707,-3.49534102365821,0.953166059229553,-3.66708506855931,0.000245331195764773,0.0200855949748937,"ARMC7",79637
"Mlip",148.524326366537,-6.62584840664466,1.80790644964399,-3.66492879537513,0.000247407406099477,0.020137812124376,"MLIP",90523
"Pou2f3",146.262437858299,10.9082086779769,2.98013637624238,3.66030520110994,0.000251915010010518,0.020386185781198,"POU2F3",25833
"Lekr1",26.2954598811535,-7.15254141725214,1.95573428949449,-3.65721532606605,0.000254970182864709,0.0205148422994593,"LEKR1",389170
"Pggt1b",403.642933056095,-1.81667792507262,0.4984288064122,-3.64480925199622,0.000267590195080098,0.0214072156064079,"PGGT1B",5229
"Kat6b",310.090195197231,-2.30175550971402,0.63198014398334,-3.64213263917782,0.000270388683569691,0.0215081907384982,"KAT6B",23522
"Ppp1r3b",206.060339857454,-6.89434261864406,1.89864354965464,-3.63119376456846,0.000282113271609591,0.0223140440821145,"PPP1R3B",79660
"Slc22a5",914.100142030383,-5.60813006206442,1.54996029578347,-3.61824111064061,0.000296612004096631,0.0233290340300721,NA,NA
"Kdm4a",106.5764905799,5.30479974065882,1.4676256061328,3.61454564331088,0.000300874808665858,0.0235321079403465,"KDM4A",9682
"Rnf157",180.236248155538,-10.8998967338063,3.01765840161674,-3.6120379722127,0.000303800066760443,0.0236288940813678,"RNF157",114804
"LOC100909569",41.7736753970678,-8.79059933149339,2.43536332816906,-3.60956380915134,0.000306712321606941,0.0237236049861722,NA,NA
"LOC501110",157.192978676892,-3.76617301406209,1.04525161439685,-3.60312575669667,0.000314413315474165,0.0241856396518588,NA,NA
"Myef2",153.232265586983,-2.3499816522592,0.652668478602455,-3.60057476238345,0.000317514511142954,0.0242907276284227,"MYEF2",50804
"Mir22",22.8055537005847,-7.91769074130784,2.20243249154649,-3.59497545177798,0.000324422165698918,0.024684295216222,NA,NA
"Cwh43",119.581773239057,10.617749169839,2.95826224876622,3.58918455396147,0.000331713951831785,0.0251026774359189,"CWH43",80157
"Arg2",376.033838310594,-2.11151563779059,0.589133237823549,-3.58410543189045,0.000338235448840947,0.025458582170824,"ARG2",384
"Sult1d1",118.970462077006,10.6103372093968,2.9643597123008,3.5793015150518,0.000344513797588187,0.0257924768247841,NA,NA
